Supplier,Supplier_SKU,Name,Brand,Barcode,Cost_Price,RRP,Stock,Category
uhp,AR113,Brightening Facial Scrub,ACURE,854049002064,13.04,22.95,,"Body & Beauty, Christmas, Cyber Sale"
uhp,VR140,Bushy Brows & Love-ya Lashes Display Inc 5xVR141-144,Vrindavan,,101.7,9.95,,"Body & Beauty, Cyber Sale"
uhp,AR115,Brightening Day Cream,ACURE,854049002088,22.13,38.95,,"Body & Beauty, Cyber Sale, Mega Sale, Mother's Day"
uhp,AR116,Brightening Night Cream,ACURE,854049002095,23.84,41.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,AR122,Brightening Body Scrub,ACURE,813424022738,19.86,34.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,YT75,Herbal Tea Bags Sweet Tangerine Positive Energy,Yogi Tea,076950204553,8.72,13.95,,Pantry
uhp,AR123,Brightening Vit C & Ferulic Acid Oil Free Serum,ACURE,813424022493,23.84,41.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,AR132,Radically Rejuvenating Facial Scrub,ACURE,813424020215,15.88,27.95,,"Body & Beauty, Cyber Sale, Mega Sale, Mother's Day"
uhp,AR135,Radically Rejuvenating Rose Argan Oil,ACURE,813424020000,20.99,36.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,VR141,Bushy Brows Gold Certified Organic Castor Oil,Vrindavan,731722043180,5.65,9.95,,"Body & Beauty, Cyber Sale"
uhp,AR140,Radically Rejuvenating Dual Phase Bakuchiol Serum,ACURE,813424022530,23.84,41.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,AR152,Seriously Soothing Cleansing Cream,ACURE,854049002453,12.47,21.95,,"Body & Beauty, Christmas, Cyber Sale, Mega Sale"
uhp,AR153,Seriously Soothing Day Cream,ACURE,854049002477,22.13,38.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,VR142,Bushy Brows Black Unrefined Jamaican Black Castor Oil,Vrindavan,731722043197,5.65,9.95,,"Body & Beauty, Cyber Sale"
uhp,AR155,Seriously Soothing Blue Tansy Night Oil,ACURE,813424021175,20.99,36.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,AR157,Seriously Soothing Rose & Watermelon Superfine Mist,ACURE,813424022301,20.99,36.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,AR165,The Essentials 100% Plant Squalane,ACURE,813424022721,22.7,39.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,AR211,Ultra Hydrating Shampoo Argan,ACURE,813424022776,12.47,21.95,,"Body & Beauty, Cyber Sale"
uhp,AR214,Simply Smoothing Conditioner Coconut,ACURE,813424022820,12.47,21.95,,"Body & Beauty, Cyber Sale, Mega Sale"
oborne,LK4MG,LOCAKO GWP MOULD GUMMY **OBSOLETE MANUFACTURER**,LOCAKO,,,,,
